20/04/2022	11:25:17
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	0.669032		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	20.133858
U dispersion: 	0.1393
Turbulence: 	0.691867

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.871094	2.896891	19.829914	0	206.054687	25.097656	-27.081244
2.868652	2.894428	19.761508	0	206.542969	25.097656	-20.783177
2.871094	2.896891	19.829914	0	206.542969	25.097656	-30.064588
2.871094	2.896891	19.829914	0	206.542969	25.097656	-47.949912
2.871094	2.896891	19.829914	0	206.542969	25.097656	-50.500692
2.868652	2.894428	19.761508	0	206.054687	25.097656	-53.46875
2.871094	2.896891	19.829914	0	206.542969	25.097656	-50.396751
2.868652	2.894428	19.761508	0	206.542969	25.097656	-48.618865
2.871094	2.896891	19.829914	0	206.542969	25.097656	-64.430678
2.868652	2.894832	19.772727	0	206.542969	25.146484	-56.576297
2.871094	2.896891	19.829914	0	206.542969	25.097656	-47.551592
2.868652	2.894832	19.772727	0	206.542969	25.146484	-48.135971
2.871094	2.897296	19.841149	0	206.542969	25.146484	-49.507412
2.868652	2.894428	19.761508	0	206.542969	25.097656	-47.73322
2.868652	2.894428	19.761508	0	206.542969	25.097656	-45.729132
2.868652	2.894832	19.772727	0	206.054687	25.146484	-50.335983
2.868652	2.894832	19.772727	0	206.542969	25.146484	-48.977935
2.871094	2.896891	19.829914	0	206.542969	25.097656	-51.741172
2.871094	2.897296	19.841149	0	206.054687	25.146484	-55.725667
2.871094	2.897296	19.841149	0	206.542969	25.146484	-54.142915
2.871094	2.896891	19.829914	0	206.542969	25.097656	-55.150029
2.873535	2.899759	19.909609	0	206.054687	25.146484	-52.155144
2.871094	2.897296	19.841149	0	206.054687	25.146484	-50.85613
2.873535	2.899759	19.909609	0	206.054687	25.146484	-49.95619
2.868652	2.894832	19.772727	0	206.054687	25.146484	-53.67536
2.871094	2.896891	19.829914	0	206.054687	25.097656	-61.528751
