20/04/2022	11:08:26
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	166.41929		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	16.941325
U dispersion: 	0.897833
Turbulence: 	5.29966

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.770996	2.791223	16.934298	0	210.9375	24.511719	-34.617646
2.766113	2.786304	16.801802	0	210.9375	24.511719	-22.919839
2.790527	2.810896	17.46661	0	210.9375	24.511719	-28.333919
2.756348	2.776467	16.53755	0	210.9375	24.511719	-27.955776
2.822266	2.842866	18.338827	0	210.9375	24.511719	-21.919137
2.800293	2.820733	17.734081	0	210.9375	24.511719	-25.57497
2.802734	2.823193	17.801079	0	210.9375	24.511719	-53.267224
2.810059	2.83057	18.002372	0	210.9375	24.511719	-39.012669
2.724609	2.744497	15.686134	0	210.9375	24.511719	-39.487865
2.763672	2.783845	16.735645	0	210.9375	24.511719	-35.25001
2.729492	2.749416	15.816337	0	210.9375	24.511719	-38.479003
2.780762	2.80106	17.2	0	210.9375	24.511719	-32.069974
2.744141	2.764171	16.208692	0	210.9375	24.511719	-28.696346
2.749023	2.76909	16.340035	0	210.9375	24.511719	-32.21277
2.683105	2.70269	14.592404	0	210.9375	24.511719	-26.269642
2.802734	2.823193	17.801079	0	210.9375	24.511719	-22.658628
2.790527	2.810896	17.46661	0	210.9375	24.511719	-27.714816
2.788086	2.808437	17.399875	0	210.9375	24.511719	-41.647559
2.822266	2.842866	18.338827	0	210.9375	24.511719	-29.256821
2.780762	2.80106	17.2	0	210.9375	24.511719	-24.182516
2.744141	2.764171	16.208692	0	210.9375	24.511719	-24.196685
2.817383	2.837948	18.204103	0	210.9375	24.511719	-27.312744
2.788086	2.808437	17.399875	0	210.9375	24.511719	-32.703361
2.792969	2.813356	17.533399	0	210.9375	24.511719	-28.403622
2.763672	2.783845	16.735645	0	210.9375	24.511719	-42.270223
2.729492	2.749416	15.816337	0	210.9375	24.511719	-29.716396
2.805176	2.825652	17.868127	0	210.9375	24.511719	-29.510539
2.802734	2.823193	17.801079	0	210.9375	24.511719	-40.334668
2.768555	2.788763	16.86802	0	210.9375	24.511719	-25.126696
2.751465	2.771549	16.405808	0	210.9375	24.511719	-22.83357
2.807617	2.828111	17.935224	0	210.9375	24.511719	-26.167148
2.788086	2.808437	17.399875	0	210.9375	24.511719	-31.715276
2.832031	2.852703	18.60882	0	210.9375	24.511719	-65.198187
2.758789	2.778927	16.603519	0	210.9375	24.511719	-30.60194
