20/04/2022	11:11:40
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	360.614005		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	16.503361
U dispersion: 	0.914294
Turbulence: 	5.540047

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.790527	2.815601	17.594421	0	210.9375	25.097656	-40.184668
2.814941	2.840631	18.277569	0	210.9375	25.146484	-34.405325
2.685547	2.709677	14.773463	0	210.9375	25.097656	-27.74639
2.775879	2.800821	17.193542	0	210.9375	25.097656	-26.638359
2.687988	2.712519	14.847321	0	210.9375	25.146484	-27.358156
2.729492	2.754017	15.938419	0	210.9375	25.097656	-30.084595
2.724609	2.749091	15.80772	0	210.9375	25.097656	-27.917239
2.709961	2.734311	15.417439	0	210.9375	25.097656	-28.146422
2.770996	2.795894	17.060363	0	210.9375	25.097656	-26.752565
2.775879	2.800821	17.193542	0	210.9375	25.097656	-25.937626
2.800293	2.825454	17.862739	0	210.9375	25.097656	-26.671124
2.805176	2.830776	18.007994	0	210.9375	25.146484	-37.370249
2.780762	2.806139	17.337565	0	210.9375	25.146484	-32.21665
2.800293	2.825454	17.862739	0	210.9375	25.097656	-32.943309
2.714844	2.73962	15.557311	0	210.9375	25.146484	-26.160613
2.758789	2.783966	16.738901	0	210.9375	25.146484	-32.045268
2.763672	2.788504	16.861035	0	210.9375	25.097656	-38.919356
2.736816	2.761407	16.135007	0	210.9375	25.097656	-31.122261
2.736816	2.761793	16.145281	0	210.9375	25.146484	-33.619561
2.731934	2.756481	16.003877	0	210.9375	25.097656	-32.96996
2.729492	2.754402	15.948631	0	210.9375	25.146484	-28.185952
2.758789	2.783577	16.728452	0	210.9375	25.097656	-28.629456
2.746582	2.771261	16.398099	0	210.9375	25.097656	-24.563941
2.685547	2.709677	14.773463	0	210.9375	25.097656	-27.179871
