20/04/2022	11:27:39
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	0.878311		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.964634
U dispersion: 	0.151339
Turbulence: 	0.758035

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.883301	2.909614	20.183818	0	210.9375	25.146484	-29.119662
2.875977	2.902223	19.978106	0	210.9375	25.146484	-24.992724
2.875977	2.902223	19.978106	0	210.9375	25.146484	-28.164269
2.875977	2.901818	19.966839	0	210.9375	25.097656	-37.655012
2.873535	2.899355	19.898358	0	211.425781	25.097656	-47.615011
2.875977	2.902223	19.978106	0	210.9375	25.146484	-66.751717
2.880859	2.90715	20.11521	0	211.425781	25.146484	-46.121644
2.885742	2.912078	20.252463	0	211.425781	25.146484	-46.090122
2.880859	2.90715	20.11521	0	210.9375	25.146484	-42.364357
2.875977	2.901818	19.966839	0	211.425781	25.097656	-44.440894
2.880859	2.906745	20.103913	0	210.9375	25.097656	-59.930026
2.878418	2.904687	20.046639	0	211.425781	25.146484	-48.531882
2.873535	2.899355	19.898358	0	210.9375	25.097656	-49.858992
2.878418	2.904281	20.035357	0	211.425781	25.097656	-55.754559
2.878418	2.904687	20.046639	0	211.425781	25.146484	-48.750908
2.885742	2.911671	20.241133	0	211.425781	25.097656	-47.996253
2.880859	2.90715	20.11521	0	211.425781	25.146484	-46.163418
2.878418	2.904687	20.046639	0	211.425781	25.146484	-50.487372
2.880859	2.90715	20.11521	0	210.9375	25.146484	-52.617184
2.888184	2.914135	20.309799	0	211.425781	25.097656	-53.594694
2.880859	2.906745	20.103913	0	210.9375	25.097656	-51.254766
2.880859	2.906745	20.103913	0	210.9375	25.097656	-49.390125
2.880859	2.90715	20.11521	0	211.425781	25.146484	-50.89389
2.873535	2.899355	19.898358	0	210.9375	25.097656	-56.567091
