20/04/2022	11:09:00
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	29.374883		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	17.717517
U dispersion: 	0.807597
Turbulence: 	4.558182

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.756348	2.776854	16.54791	0	212.890625	24.560547	-38.974816
2.805176	2.826045	17.878851	0	212.890625	24.560547	-22.420014
2.746582	2.767015	16.284611	0	212.890625	24.560547	-20.688097
2.814941	2.835883	18.147605	0	212.890625	24.560547	-22.436997
2.861328	2.882615	19.434002	0	212.890625	24.560547	-22.400643
2.714844	2.735041	15.436659	0	212.890625	24.560547	-24.038778
2.802734	2.823585	17.811786	0	212.890625	24.560547	-31.585563
2.839355	2.860479	18.822737	0	212.890625	24.560547	-48.757188
2.810059	2.830964	18.013131	0	212.890625	24.560547	-29.112649
2.751465	2.771935	16.416128	0	212.890625	24.560547	-22.640637
2.77832	2.79899	17.144017	0	212.890625	24.560547	-21.760531
2.788086	2.808828	17.410476	0	212.890625	24.560547	-27.424144
2.788086	2.808828	17.410476	0	212.890625	24.560547	-28.731065
2.841797	2.862939	18.890491	0	212.890625	24.560547	-30.125546
2.788086	2.808828	17.410476	0	212.890625	24.560547	-37.75023
2.841797	2.862939	18.890491	0	212.890625	24.560547	-36.147389
2.768555	2.78954	16.888934	0	212.890625	24.609375	-32.329928
2.814941	2.835883	18.147605	0	212.890625	24.560547	-35.954789
2.827148	2.848181	18.484611	0	212.890625	24.560547	-32.820483
2.788086	2.808828	17.410476	0	212.890625	24.560547	-27.604304
2.785645	2.806368	17.343778	0	212.890625	24.560547	-23.337301
2.819824	2.841198	18.293101	0	212.890625	24.609375	-27.958838
2.810059	2.830964	18.013131	0	212.890625	24.560547	-35.487557
2.797852	2.818666	17.677807	0	212.890625	24.560547	-32.509451
2.802734	2.823585	17.811786	0	212.890625	24.560547	-31.708854
