20/04/2022	11:09:59
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	122.145133		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	18.441813
U dispersion: 	0.734354
Turbulence: 	3.982005

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.851562	2.876382	19.261539	0	209.472656	25	-33.194391
2.866211	2.891158	19.67075	0	209.472656	25	-22.989963
2.756348	2.780338	16.64141	0	209.472656	25	-23.813757
2.871094	2.896083	19.807461	0	209.472656	25	-30.312782
2.817383	2.841904	18.312461	0	209.472656	25	-35.575657
2.844238	2.868994	19.057468	0	209.472656	25	-40.504238
2.810059	2.834516	18.11022	0	209.472656	25	-35.934844
2.797852	2.822203	17.774117	0	209.472656	25	-30.08891
2.834473	2.859143	18.785951	0	209.472656	25	-28.440985
2.84668	2.871456	19.125451	0	209.472656	25	-32.438852
2.851562	2.876382	19.261539	0	209.472656	25	-33.17216
2.880859	2.905933	20.081334	0	209.472656	25	-36.16459
2.780762	2.804965	17.305732	0	209.472656	25	-33.347958
2.868652	2.89362	19.739086	0	209.472656	25	-46.396723
2.849121	2.873919	19.193475	0	208.984375	25	-34.359326
2.790527	2.814815	17.573061	0	208.984375	25	-37.029388
2.824707	2.849292	18.515118	0	209.472656	25	-31.275538
2.834473	2.859143	18.785951	0	209.472656	25	-27.876356
2.836914	2.861606	18.853768	0	209.472656	25	-24.903314
2.82959	2.854218	18.650448	0	209.472656	25	-26.553312
2.77832	2.802502	17.239037	0	208.984375	25	-31.031323
2.844238	2.868994	19.057468	0	209.472656	25	-31.024012
2.817383	2.841904	18.312461	0	208.984375	25	-34.573699
2.858887	2.88377	19.465969	0	209.472656	25	-31.26473
2.839355	2.864068	18.921626	0	209.472656	25	-26.345289
2.824707	2.849292	18.515118	0	209.472656	25	-28.582909
2.851562	2.876382	19.261539	0	209.472656	25	-36.308147
2.858887	2.88377	19.465969	0	208.984375	25	-30.42249
2.851562	2.876382	19.261539	0	209.472656	25	-27.60295
2.827148	2.852153	18.593695	0	209.472656	25.048828	-34.984198
2.849121	2.873919	19.193475	0	209.472656	25	-30.129653
2.746582	2.770487	16.377411	0	209.472656	25	-26.979535
2.819824	2.844367	18.379968	0	208.984375	25	-28.854418
2.856445	2.881709	19.408915	0	209.472656	25.048828	-29.582403
2.84668	2.871456	19.125451	0	208.984375	25	-35.482237
2.797852	2.822203	17.774117	0	208.984375	25	-38.205869
2.841797	2.866531	18.989527	0	209.472656	25	-41.781431
2.810059	2.834516	18.11022	0	209.472656	25	-40.980405
2.849121	2.873919	19.193475	0	209.472656	25	-35.193229
2.827148	2.851755	18.582761	0	209.472656	25	-29.645833
2.810059	2.834516	18.11022	0	209.472656	25	-40.258119
2.824707	2.849292	18.515118	0	209.472656	25	-30.566763
