20/04/2022	11:26:47
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	0.815983		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.998093
U dispersion: 	0.136257
Turbulence: 	0.68135

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.888184	2.914541	20.321143	0	209.472656	25.146484	-23.291075
2.890625	2.916598	20.378501	0	209.472656	25.097656	-20.4068
2.890625	2.916598	20.378501	0	208.984375	25.097656	-26.631619
2.890625	2.916598	20.378501	0	209.472656	25.097656	-38.053362
2.888184	2.914135	20.309799	0	208.984375	25.097656	-38.210824
2.890625	2.917005	20.389861	0	209.472656	25.146484	-37.777586
2.890625	2.916598	20.378501	0	209.472656	25.097656	-43.02856
2.893066	2.919061	20.447239	0	208.984375	25.097656	-44.238375
2.890625	2.916598	20.378501	0	208.984375	25.097656	-45.337607
2.893066	2.919061	20.447239	0	209.472656	25.097656	-41.798867
2.893066	2.919061	20.447239	0	209.472656	25.097656	-38.628404
2.890625	2.917005	20.389861	0	209.472656	25.146484	-43.625332
2.888184	2.914135	20.309799	0	209.472656	25.097656	-63.052119
2.885742	2.911671	20.241133	0	208.984375	25.097656	-48.087324
2.888184	2.914135	20.309799	0	208.984375	25.097656	-48.053734
2.885742	2.911671	20.241133	0	209.472656	25.097656	-47.818415
2.885742	2.911671	20.241133	0	208.984375	25.097656	-50.656125
2.883301	2.909208	20.172505	0	209.472656	25.097656	-49.125235
2.883301	2.909208	20.172505	0	209.472656	25.097656	-51.886124
2.883301	2.909208	20.172505	0	209.472656	25.097656	-54.023241
2.885742	2.912078	20.252463	0	209.472656	25.146484	-45.557804
2.883301	2.909208	20.172505	0	208.984375	25.097656	-47.112643
2.883301	2.909208	20.172505	0	208.984375	25.097656	-47.080908
2.880859	2.906745	20.103913	0	209.472656	25.097656	-54.377324
2.883301	2.909208	20.172505	0	208.984375	25.097656	-54.323231
2.883301	2.909208	20.172505	0	209.472656	25.097656	-47.43127
2.883301	2.909208	20.172505	0	208.984375	25.097656	-45.857686
2.883301	2.909208	20.172505	0	208.984375	25.097656	-46.787502
2.878418	2.904281	20.035357	0	209.472656	25.097656	-52.31281
2.883301	2.909614	20.183818	0	208.984375	25.146484	-53.427771
2.883301	2.909208	20.172505	0	209.472656	25.097656	-49.889383
2.883301	2.909208	20.172505	0	209.472656	25.097656	-44.378063
2.880859	2.906745	20.103913	0	208.984375	25.097656	-52.152411
2.883301	2.909208	20.172505	0	209.472656	25.097656	-50.686469
2.888184	2.914135	20.309799	0	209.472656	25.097656	-41.600362
2.890625	2.916598	20.378501	0	209.472656	25.097656	-41.108249
2.890625	2.916598	20.378501	0	209.472656	25.097656	-46.576479
2.888184	2.914541	20.321143	0	208.984375	25.146484	-43.297075
2.885742	2.911671	20.241133	0	209.472656	25.097656	-47.039395
2.885742	2.911671	20.241133	0	208.984375	25.097656	-57.431671
2.888184	2.914135	20.309799	0	208.984375	25.097656	-54.476644
2.885742	2.911671	20.241133	0	209.472656	25.097656	-47.025338
2.888184	2.914135	20.309799	0	208.984375	25.097656	-52.493919
2.885742	2.911671	20.241133	0	209.472656	25.097656	-45.777644
2.885742	2.912078	20.252463	0	209.472656	25.146484	-42.952383
2.885742	2.911671	20.241133	0	209.472656	25.097656	-43.898853
2.885742	2.911671	20.241133	0	209.472656	25.097656	-39.910342
2.885742	2.911671	20.241133	0	209.472656	25.097656	-43.875798
2.883301	2.909208	20.172505	0	208.984375	25.097656	-68.225735
2.885742	2.912078	20.252463	0	209.472656	25.146484	-53.931472
2.888184	2.914541	20.321143	0	208.984375	25.146484	-47.029671
2.890625	2.917005	20.389861	0	209.472656	25.146484	-59.660393
2.885742	2.912078	20.252463	0	209.472656	25.146484	-50.753519
2.888184	2.914541	20.321143	0	209.472656	25.146484	-53.385556
2.890625	2.917005	20.389861	0	209.472656	25.146484	-44.712674
2.893066	2.919469	20.458615	0	209.472656	25.146484	-49.964536
2.888184	2.914541	20.321143	0	208.984375	25.146484	-52.792037
2.885742	2.911671	20.241133	0	208.984375	25.097656	-44.308159
2.885742	2.912078	20.252463	0	209.472656	25.146484	-44.99365
2.880859	2.906745	20.103913	0	209.472656	25.097656	-50.173248
2.880859	2.90715	20.11521	0	209.472656	25.146484	-46.492103
2.878418	2.904687	20.046639	0	209.472656	25.146484	-47.745367
2.880859	2.90715	20.11521	0	209.472656	25.146484	-50.256323
2.878418	2.904687	20.046639	0	208.984375	25.146484	-46.243415
2.880859	2.90715	20.11521	0	208.984375	25.146484	-47.92166
2.878418	2.904281	20.035357	0	209.472656	25.097656	-48.321338
2.880859	2.90715	20.11521	0	209.472656	25.146484	-43.644778
2.883301	2.909208	20.172505	0	208.984375	25.097656	-41.55322
2.880859	2.906745	20.103913	0	209.472656	25.097656	-51.371376
2.880859	2.906745	20.103913	0	208.984375	25.097656	-46.092419
2.880859	2.90715	20.11521	0	209.472656	25.146484	-46.129435
2.885742	2.911671	20.241133	0	209.472656	25.097656	-65.237573
2.885742	2.911671	20.241133	0	208.984375	25.097656	-52.691907
2.888184	2.914135	20.309799	0	209.472656	25.097656	-45.858201
2.883301	2.909614	20.183818	0	208.984375	25.146484	-44.656601
2.883301	2.909208	20.172505	0	209.472656	25.097656	-45.692675
2.880859	2.906745	20.103913	0	208.984375	25.097656	-64.961207
2.883301	2.909208	20.172505	0	209.472656	25.097656	-44.157466
2.885742	2.911671	20.241133	0	208.984375	25.097656	-44.801956
2.883301	2.909208	20.172505	0	208.984375	25.097656	-50.28481
