20/04/2022	11:07:45
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	114.275879		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	13.767735
U dispersion: 	1.073137
Turbulence: 	7.794581

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.648926	2.668261	13.711482	0	212.402344	24.511719	-32.713192
2.668457	2.687935	14.212491	0	212.402344	24.511719	-28.418574
2.724609	2.744497	15.686134	0	212.402344	24.511719	-35.036389
2.590332	2.60924	12.25151	0	212.402344	24.511719	-27.655919
2.724609	2.744497	15.686134	0	212.402344	24.511719	-28.233095
2.675781	2.695313	14.402019	0	212.402344	24.511719	-27.810438
2.629395	2.648588	13.217291	0	212.402344	24.511719	-24.47786
2.666016	2.685476	14.14951	0	212.402344	24.511719	-26.89147
2.678223	2.697772	14.465387	0	212.402344	24.511719	-26.158521
2.695312	2.714987	14.911541	0	212.402344	24.511719	-31.119084
2.631836	2.651047	13.278673	0	212.402344	24.511719	-29.12866
2.636719	2.655965	13.401779	0	212.402344	24.511719	-32.442445
2.580566	2.599403	12.015165	0	212.402344	24.511719	-35.571296
2.717285	2.73712	15.4914	0	212.402344	24.511719	-40.759016
2.658691	2.678098	13.961167	0	212.402344	24.511719	-22.963443
2.631836	2.651047	13.278673	0	212.402344	24.511719	-21.172737
2.573242	2.592025	11.839329	0	212.402344	24.511719	-24.78598
2.648926	2.668261	13.711482	0	212.402344	24.511719	-38.641998
2.614746	2.633832	12.851444	0	212.402344	24.511719	-34.013359
2.646484	2.665802	13.649324	0	212.402344	24.511719	-26.329147
2.644043	2.663343	13.587274	0	212.402344	24.511719	-23.663938
2.63916	2.658424	13.4635	0	212.402344	24.511719	-21.008685
2.597656	2.616618	12.430155	0	212.402344	24.511719	-22.032665
2.626953	2.646128	13.156023	0	212.402344	24.511719	-30.068746
2.55127	2.569892	11.31943	0	212.402344	24.511719	-32.149958
2.60498	2.623995	12.609957	0	212.402344	24.511719	-37.173674
2.685547	2.70515	14.656051	0	212.402344	24.511719	-32.704091
2.663574	2.683017	14.086629	0	212.402344	24.511719	-31.997204
2.653809	2.67318	13.836116	0	212.402344	24.511719	-44.635158
2.705078	2.724824	15.168427	0	212.402344	24.511719	-35.772017
2.666016	2.685476	14.14951	0	212.402344	24.511719	-50.842604
2.543945	2.562515	11.148757	0	212.402344	24.511719	-30.240954
2.678223	2.697772	14.465387	0	212.402344	24.511719	-27.855665
2.624512	2.643669	13.094871	0	212.402344	24.511719	-24.59529
2.675781	2.695313	14.402019	0	212.402344	24.511719	-22.696239
2.629395	2.648588	13.217291	0	212.402344	24.511719	-24.12153
2.644043	2.663343	13.587274	0	212.402344	24.511719	-20.976485
2.641602	2.660884	13.525332	0	212.402344	24.511719	-20.522625
2.668457	2.687935	14.212491	0	212.402344	24.511719	-22.911986
2.597656	2.616618	12.430155	0	212.402344	24.511719	-22.962201
2.700195	2.719905	15.039813	0	212.402344	24.511719	-28.547725
2.683105	2.70269	14.592404	0	212.402344	24.511719	-32.270123
2.614746	2.633832	12.851444	0	212.402344	24.511719	-36.123666
2.653809	2.67318	13.836116	0	212.402344	24.511719	-29.265679
2.741699	2.761712	16.143123	0	212.402344	24.511719	-26.404401
2.631836	2.651047	13.278673	0	212.402344	24.511719	-21.635364
2.609863	2.628914	12.730454	0	212.402344	24.511719	-23.117164
2.62207	2.64121	13.033836	0	212.402344	24.511719	-37.948547
2.719727	2.739579	15.556234	0	212.402344	24.511719	-28.181517
2.685547	2.70515	14.656051	0	212.402344	24.511719	-28.670181
2.675781	2.695313	14.402019	0	212.402344	24.511719	-25.434262
2.67334	2.692854	14.338747	0	212.402344	24.511719	-24.446951
2.636719	2.655965	13.401779	0	212.402344	24.511719	-37.665311
2.641602	2.660884	13.525332	0	212.402344	24.511719	-41.77151
2.67334	2.692854	14.338747	0	212.402344	24.511719	-40.020889
2.609863	2.628914	12.730454	0	212.402344	24.511719	-26.652464
2.641602	2.660884	13.525332	0	212.402344	24.511719	-23.966394
