20/04/2022	11:25:58
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	34.689827		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.801549
U dispersion: 	0.109368
Turbulence: 	0.552319

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.86377	2.889905	19.635997	0	206.054687	25.146484	-30.344788
2.866211	2.892368	19.704343	0	206.542969	25.146484	-28.062071
2.868652	2.894832	19.772727	0	206.542969	25.146484	-37.084511
2.866211	2.891965	19.69314	0	206.542969	25.097656	-46.351683
2.868652	2.894428	19.761508	0	206.542969	25.097656	-42.915005
2.868652	2.894832	19.772727	0	206.542969	25.146484	-39.576035
2.86377	2.889905	19.635997	0	206.542969	25.146484	-43.463001
2.861328	2.887441	19.567689	0	206.542969	25.146484	-43.689617
2.861328	2.887038	19.556517	0	206.542969	25.097656	-41.383815
2.86377	2.889905	19.635997	0	206.542969	25.146484	-44.008429
2.861328	2.887441	19.567689	0	206.542969	25.146484	-45.677767
2.86377	2.889501	19.624809	0	206.542969	25.097656	-49.75674
2.86377	2.889501	19.624809	0	206.542969	25.097656	-46.8144
2.861328	2.887038	19.556517	0	206.542969	25.097656	-44.868955
2.861328	2.887441	19.567689	0	206.054687	25.146484	-43.653348
2.86377	2.889501	19.624809	0	206.054687	25.097656	-43.483212
2.86377	2.889501	19.624809	0	206.542969	25.097656	-46.093517
2.861328	2.887441	19.567689	0	206.542969	25.146484	-48.8945
2.861328	2.887038	19.556517	0	206.542969	25.097656	-45.095094
2.861328	2.887441	19.567689	0	206.542969	25.146484	-39.03645
2.854004	2.879648	19.351874	0	206.542969	25.097656	-42.418961
2.861328	2.887441	19.567689	0	206.542969	25.146484	-43.636853
2.86377	2.889501	19.624809	0	206.542969	25.097656	-46.208205
2.866211	2.891965	19.69314	0	206.542969	25.097656	-49.613772
2.858887	2.884575	19.488264	0	206.542969	25.097656	-49.455159
2.858887	2.884575	19.488264	0	206.542969	25.097656	-54.033342
2.86377	2.889501	19.624809	0	206.542969	25.097656	-55.300725
2.861328	2.887038	19.556517	0	206.542969	25.097656	-47.587146
2.861328	2.887038	19.556517	0	206.542969	25.097656	-53.949821
2.858887	2.884977	19.49942	0	206.542969	25.146484	-56.354428
2.861328	2.887038	19.556517	0	206.542969	25.097656	-61.443549
